artists,acousticness,danceability,duration_ms,energy,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres
"""Weird Al"" Yankovic",0.17693409100000002,0.664787879,218165.2576,0.6851363640000001,0.162139394,-9.877909091,0.082392424,132.4950909,0.754409091,33.68181818,9,1,132,"['antiviral pop', 'comedy rock', 'comic', 'parody']"
$pyda,0.000122,0.514,331240.0,0.899,0.3670000000000001,-5.115,0.0602,174.028,0.266,58.0,7,1,1,[others]
'Be More Chill' Ensemble,0.764,0.4970000000000001,164400.0,0.474,0.453,-7.279,0.044,133.934,0.493,52.0,3,1,1,[others]
'In The Heights' Original Broadway Company,0.636588235,0.541,301908.2941,0.402282353,0.193823529,-9.405882352999999,0.15000588199999998,114.9525294,0.407764706,46.58823529,7,1,17,"['broadway', 'show tunes']"
'Little Women' Original Broadway Cast,0.902,0.345,275360.0,0.325,0.0721,-7.955,0.0354,90.03,0.168,42.0,1,1,2,[others]
'Til Tuesday,0.10555625,0.557125,255213.5,0.61225,0.1275875,-9.638125,0.03215,103.08025,0.532625,35.125,0,1,16,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']"
((( O ))),0.847,0.41,311837.0,0.16899999999999998,0.117,-11.422,0.0485,89.494,0.208,66.0,3,1,2,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
(Con La Participación De Eros Ramazzotti),0.282,0.722,287600.0,0.628,0.125,-5.712999999999999,0.0522,143.922,0.561,43.0,0,1,2,[others]
(Con La Participación de Marc Anthony),0.5379999999999999,0.731,361440.0,0.794,0.0736,-4.182,0.0408,88.00299999999999,0.873,44.0,5,1,2,[others]
(G)I-DLE,0.029966667,0.718,194278.0,0.764333333,0.163333333,-3.797333333,0.0552,129.99200000000002,0.449666667,74.66666667,4,0,3,"['k-pop', 'k-pop girl group']"
*NSYNC,0.156757538,0.6420512820000001,237077.5128,0.719320513,0.217423077,-6.030692308,0.067155128,114.6852179,0.615128205,45.79487179,0,1,78,"['boy band', 'dance pop', 'europop', 'pop']"
44,0.01281645,0.4515,205250.0,0.88325,0.1507,-4.26175,0.079075,168.37125,0.39125,43.75,2,1,8,[others]
-,0.466,0.446,316307.0,0.546,0.193,-7.022,0.045,125.961,0.376,55.0,10,0,2,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk', 'texas pop punk']"
...And You Will Know Us by the Trail of Dead,0.008409999999999999,0.255,273624.0,0.858,0.513,-5.085,0.0694,144.653,0.237,35.0,7,1,2,"['alternative rock', 'dance-punk', 'indie rock', 'lo-fi', 'modern rock', 'post-hardcore']"
...Bender,0.000155,0.542,226000.0,0.894,0.116,-5.025,0.0537,119.128,0.336,42.0,1,1,2,[others]
03 Greedo,0.06932,0.7246,220595.2,0.6938,0.16505999999999998,-5.021,0.05074,93.9078,0.4434,59.2,1,0,5,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']"
070 Shake,0.375133333,0.68,303688.6667,0.637,0.124266667,-9.293666667,0.1089,112.6786667,0.34566666700000004,63.0,4,0,3,"['alternative r&b', 'indie r&b', 'new jersey rap']"
10 Ft. Ganja Plant,0.10835,0.7875,256780.0,0.7725,0.07735,-4.744,0.07285,142.97299999999996,0.8340000000000001,48.5,2,0,4,"['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae']"
10 Years,0.097123238,0.39925,208469.875,0.751625,0.1507375,-5.071875,0.0486125,147.9155,0.318875,47.75,6,1,16,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
"10,000 Maniacs",0.192295,0.581454545,240081.7273,0.560390909,0.253490909,-12.97718182,0.041177273,118.9730909,0.571772727,36.77272727,9,1,44,"['dance rock', 'folk', 'lilith', 'new wave pop', 'pop rock']"
100 gecs,0.2515,0.6695,120538.0,0.5660000000000001,0.377,-7.246,0.138,91.691,0.769,63.5,6,1,2,"['art pop', 'escape room', 'hyperpop']"
101 Strings Orchestra,0.608833333,0.254866667,178029.8333,0.373333333,0.172666667,-13.42783333,0.039833333,96.92416667,0.35253333299999995,26.16666667,9,1,12,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
10cc,0.262604762,0.550952381,293338.5238,0.547047619,0.14787619,-10.77980952,0.061561905,118.9217143,0.534571429,41.19047619,9,1,42,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']"
112,0.15839381800000002,0.666072727,274580.8545,0.520436364,0.14321272699999998,-8.024036364,0.097623636,116.8437636,0.5328,48.32727273,0,1,55,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
11:11,0.174,0.478,252540.0,0.555,0.103,-7.6,0.111,128.72799999999998,0.139,57.0,5,0,2,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
12 Pianists,0.991,0.414,137733.0,0.0187,0.0513,-39.385,0.0557,74.477,0.195,52.0,7,1,2,[others]
12 Stones,0.08026649999999999,0.385833333,204280.1667,0.888833333,0.249233333,-3.887,0.0693,138.6921667,0.450666667,50.33333333,5,1,12,"['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
1776 Orchestra,0.08,0.7390000000000001,113493.0,0.518,0.0917,-15.621,0.0979,120.939,0.222,19.0,11,1,1,[others]
1788-L,0.0739,0.522,172344.0,0.539,0.0664,-5.7410000000000005,0.0418,95.97,0.139,46.0,1,0,1,"['brostep', 'edm', 'electro house', 'zapstep']"
18 Carat Affair,0.0318,0.599,98038.0,0.852,0.119,-7.575,0.0629,99.12,0.87,48.0,7,1,2,"['chillwave', 'future funk', 'hardvapour', 'vaporwave']"
1910 Fruitgum Company,0.4185,0.757,140750.0,0.60525,0.12425,-9.72575,0.044725,128.4975,0.8995,24.75,9,1,8,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']"
1986 Omega Tribe,0.378016667,0.687,266824.3333,0.620833333,0.155566667,-13.05716667,0.032433332999999995,123.0371667,0.8058333329999999,37.33333333,11,0,12,"['future funk', 'japanese city pop']"
1way Frank,0.735,0.7829999999999999,170867.0,0.38,0.158,-8.507,0.0974,99.802,0.84,56.0,10,0,2,['florida rap']
2 Brothers On The 4th Floor,0.00328,0.701,263163.0,0.979,0.416,-4.8610000000000015,0.048,134.013,0.612,62.0,7,0,2,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']"
2 Guys n the Parque,0.0717,0.8140000000000001,93600.0,0.879,0.0401,-5.416,0.12,120.113,0.962,48.0,11,0,2,[others]
2 In A Room,0.0718,0.7809999999999999,244133.0,0.838,0.0381,-13.943,0.0494,122.819,0.8490000000000001,29.0,2,1,2,"['hip house', 'latin house', 'vogue']"
2 Pistols,0.0043100000000000005,0.517,274053.0,0.747,0.345,-6.191,0.105,134.058,0.271,52.0,10,0,1,"['dirty south rap', 'pop rap', 'southern hip hop', 'trap']"
2 Unlimited,0.027919167,0.721666667,247916.0,0.924166667,0.103033333,-11.45816667,0.05975,129.4381667,0.716333333,49.0,6,1,12,"['bubblegum dance', 'eurodance', 'europop', 'hip house']"
20 Fingers,0.0009065,0.8515,253013.0,0.82,0.11065,-8.8545,0.0541,127.001,0.7765,50.0,0,1,2,"['eurodance', 'hip house']"
20/20,0.000236,0.458,257733.0,0.541,0.0371,-12.130999999999998,0.0485,133.57299999999998,0.5770000000000001,24.0,2,1,2,"['atl hip hop', 'dirty south rap', 'southern hip hop', 'trap']"
2002,0.905,0.229,267840.3333,0.155,0.105266667,-19.01433333,0.035533333,114.312,0.06333333299999999,47.33333333,7,1,6,"['healing', 'new age']"
24 Horas,0.206,0.8140000000000001,230267.0,0.68,0.101,-6.928,0.043,126.976,0.963,46.0,7,0,2,"['bachata', 'latin', 'tropical']"
24kGoldn,0.118269412,0.731588235,163177.4118,0.681235294,0.16,-5.4038235289999985,0.123764706,131.3191176,0.566823529,69.47058824,0,0,17,"['cali rap', 'pop rap']"
2CELLOS,0.603,0.5865,253046.5,0.499,0.149,-8.705,0.04035,122.251,0.6005,58.5,2,1,4,"['bow pop', 'cello', 'classify']"
2NE1,0.0076700000000000015,0.8190000000000001,208731.0,0.8440000000000001,0.056,-3.739,0.038,127.997,0.687,64.0,0,1,2,"['dance pop', 'k-pop', 'k-pop girl group']"
2forwOyNE,0.0474,0.923,187267.0,0.5329999999999999,0.0925,-5.627000000000002,0.0883,97.958,0.6890000000000001,62.0,5,0,2,[others]
2nd Chapter Of Acts,0.6055,0.433,169067.0,0.3765,0.1148,-11.4885,0.0277,89.17299999999999,0.442,28.5,1,1,4,"['christian music', 'deep christian rock']"
2nd South Carolina String Band,0.5895,0.5515,345866.5,0.639,0.2195,-7.9145,0.04625,103.9895,0.6225,39.5,2,1,4,"['string band', 'traditional country']"
3 Doors Down,0.038478175,0.503,232900.1091,0.792672727,0.157850909,-5.679090909,0.037990909,128.8442,0.445181818,49.72727273,7,1,55,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
3 Inches Of Blood,6.4e-05,0.3670000000000001,271160.0,0.961,0.11,-3.1860000000000004,0.0807,97.0,0.237,46.0,9,0,2,"['canadian metal', 'power metal', 'speed metal', 'vancouver metal', 'vancouver punk']"
30 Roc,0.0932,0.616,175252.0,0.537,0.107,-7.7189999999999985,0.139,122.65,0.465,68.0,8,0,2,[others]
311,0.022413531,0.6188688520000001,205666.0,0.820065574,0.16602459,-7.354754098,0.06582459,132.5737541,0.616206557,40.32786885,9,1,122,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'reggae fusion', 'rock']"
35MM: A Musical Exhibition Original Cast,0.113,0.772,289587.0,0.615,0.0581,-7.983,0.0633,119.962,0.7040000000000001,49.0,8,0,2,[others]
36 Crazyfists,0.00119,0.585,198600.0,0.931,0.115,-4.843,0.0847,160.079,0.8140000000000001,52.0,0,1,2,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'rap rock']"
38 Special,0.032874771000000004,0.525155556,256027.8,0.6304,0.125117778,-11.42997778,0.032602222,125.27055559999998,0.773266667,32.28888889,0,1,90,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
3BallMTY,0.213,0.792,193533.0,0.916,0.061,-5.01,0.0685,131.895,0.966,57.0,9,1,1,"['mexican indie', 'trival']"
3LAU,0.1013,0.5335,201705.0,0.7705,0.227,-4.26,0.0566,115.002,0.268,58.0,3,1,2,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
3LW,0.0558,0.7178,272055.8,0.7196,0.15058,-5.9238,0.11084,129.6848,0.6678,49.2,6,0,5,"['girl group', 'hip pop', 'r&b', 'urban contemporary']"
3T,0.34966666700000004,0.669666667,320777.6667,0.435666667,0.330666667,-11.056,0.0342,113.091,0.479333333,45.33333333,10,0,3,"['electro-industrial', 'industrial', 'industrial metal', 'industrial rock']"
3X Krazy,0.0165,0.7190000000000001,358467.0,0.6859999999999999,0.236,-4.169,0.0829,95.19,0.49,47.0,10,0,2,"['g funk', 'hyphy', 'west coast rap', 'west coast trap']"
3rd Strike,0.0075,0.444,249827.0,0.8590000000000001,0.24,-4.962,0.0484,99.655,0.394,38.0,2,1,2,"['nu metal', 'rap rock']"
3年E組うた担(渚&茅野&業&磯貝&前原),0.0389,0.591,248800.0,0.945,0.214,-2.483,0.0675,180.048,0.96,60.0,0,1,2,[others]
4 Non Blondes,0.18415,0.528666667,239673.3333,0.57,0.126633333,-10.1005,0.03825,117.8765,0.446166667,48.0,7,1,12,"['new wave pop', 'pop rock']"
4 P.M.,0.7490000000000001,0.363,162093.0,0.388,0.363,-8.607999999999999,0.034,76.09899999999998,0.348,37.0,11,0,2,"['anime rock', 'vocaloid']"
4 Skins,0.0104,0.2655,158007.0,0.9295,0.6155,-4.7330000000000005,0.125,154.4345,0.4985,35.5,11,0,4,"['oi', 'punk', 'ska']"
4 Strings,0.00213,0.617,190427.0,0.79,0.159,-6.983,0.0365,138.004,0.267,56.0,3,0,2,"['bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance', 'vocal trance']"
45 Grave,0.021413,0.438333333,177489.0,0.7636666670000001,0.1207,-8.350666667,0.075733333,149.7286667,0.557666667,27.66666667,10,0,6,"['dark wave', 'deathrock', 'gothic rock', 'horror punk']"
4Him,0.282333333,0.476333333,290636.3333,0.487333333,0.111333333,-10.05633333,0.030133333,111.2396667,0.311666667,32.66666667,4,1,6,"['christian alternative rock', 'christian music', 'deep christian rock', 'worship']"
5 Seconds of Summer,0.059827234000000014,0.546755319,197841.2447,0.8077553190000001,0.177270213,-4.401457447,0.08325319099999999,137.1530957,0.531,61.92553191,2,1,94,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
520Hz,0.996,-0.0017553435011236074,197680.0,0.0197,0.104,-47.19,0.0,87.9785737351039,-0.01818039657404924,56.0,1,1,2,['white noise']
54-40,0.29100000000000004,0.669,166827.0,0.645,0.132,-11.036,0.0305,119.179,0.929,45.0,0,1,2,"['canadian indie', 'canadian rock']"
6 Dogs,0.224,0.748,171907.0,0.66,0.101,-4.704,0.0487,137.033,0.328,68.0,6,1,2,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']"
6cyclemind,0.443,0.7175,295993.0,0.4735,0.131,-8.5365,0.03095,97.2875,0.47,57.5,3,1,4,"['classic opm', 'opm', 'pinoy rock']"
7 Seconds,1.18e-05,0.451,189200.0,0.908,0.155,-11.616,0.0627,103.893,0.398,30.0,1,0,2,"['hardcore', 'hardcore punk', 'melodic hardcore', 'punk', 'skate punk', 'straight edge', 'thrash core']"
7 Year Bitch,9.03e-06,0.349,167333.0,0.7090000000000001,0.147,-12.339,0.0336,114.581,0.708,40.0,9,0,2,"['grunge', 'riot grrrl']"
702,0.197222222,0.74,255970.2222,0.611222222,0.16442222199999998,-8.152000000000001,0.06581111099999999,99.07011111,0.59,51.88888889,10,1,9,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
707,0.0645,0.6709999999999999,285533.0,0.7070000000000001,0.057,-11.549,0.0336,125.829,0.599,26.0,9,0,2,[others]
7eventh Time Down,0.00964,0.58,176616.0,0.884,0.116,-4.3580000000000005,0.0381,105.927,0.464,54.0,6,1,2,"['ccm', 'christian alternative rock', 'christian hard rock', 'christian music', 'christian rock']"
808 State,0.007925,0.55,287607.0,0.753,0.09715,-12.2185,0.0538,128.4685,0.517,45.5,8,1,4,"['acid house', 'big beat', 'chicago house', 'electro', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno']"
88GLAM,0.0166,0.764,180813.0,0.672,0.103,-4.274,0.0655,150.02100000000004,0.594,74.0,6,0,2,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']"
88rising,0.389328571,0.6,200515.5714,0.5301428570000001,0.175414286,-8.089,0.101042857,119.2835714,0.388857143,67.14285714,7,1,7,"['asian american hip hop', 'pop']"
94 East,0.179,0.7440000000000001,340440.0,0.797,0.139,-8.867,0.0377,94.801,0.954,31.0,11,0,2,['minneapolis sound']
98º,0.332033333,0.622722222,250988.1111,0.585444444,0.116638889,-8.166611111,0.042561111,103.3227778,0.431166667,49.83333333,10,1,18,"['boy band', 'dance pop']"
99 Percent,0.0729,0.7859999999999999,157165.0,0.8540000000000001,0.179,-4.247,0.0523,105.078,0.687,60.0,2,1,2,[others]
999,0.030186667,0.596,217075.3333,0.631,0.1723,-9.655333333,0.0489,132.0906667,0.5146666670000001,33.33333333,2,1,6,"['oi', 'pub rock', 'punk']"
9tails,0.404,0.711,217182.0,0.545,0.122,-6.81,0.0322,108.02,0.345,67.0,11,1,2,['emo rap']
? & The Mysterians,0.212633636,0.630545455,145557.6364,0.6926363640000001,0.149781818,-8.167636364,0.0419,115.7935455,0.806181818,24.18181818,2,1,22,"['bubblegum pop', 'chicano punk', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
A,0.000819,0.259,223267.0,0.899,0.512,-5.948,0.0793,176.68599999999995,0.379,48.0,2,1,2,"['dance pop', 'pop', 'post-teen pop']"
