,artists,acousticness,danceability,duration_ms,energy,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres
0,"""Weird Al"" Yankovic",0.17693409100000002,0.664787879,218165.2576,-9.877909091,0.162139394,-9.877909091,0.082392424,33.68181818,9.0,33.68181818,9,1,132,"['antiviral pop', 'comedy rock', 'comic', 'parody']"
1,$pyda,0.000122,0.514,331240.0,-5.115,0.36700000000000005,-5.115,0.0602,58.0,7.0,58.0,7,1,1,['others']
2,'Be More Chill' Ensemble,0.764,0.49700000000000005,164400.0,-7.279,0.45299999999999996,-7.279,0.044000000000000004,52.0,3.0,52.0,3,1,1,['others']
3,'In The Heights' Original Broadway Company,0.636588235,0.541,301908.2941,-9.405882352999999,0.193823529,-9.405882352999999,0.15000588199999998,46.58823529,7.0,46.58823529,7,1,17,"['broadway', 'show tunes']"
4,'Little Women' Original Broadway Cast,0.902,0.345,275360.0,-7.955,0.0721,-7.955,0.0354,42.0,1.0,42.0,1,1,2,['others']
5,'Til Tuesday,0.10555625,0.557125,255213.5,-9.638125,0.1275875,-9.638125,0.03215,35.125,0.0,35.125,0,1,16,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']"
6,((( O ))),0.847,0.41,311837.0,-11.422,0.11699999999999999,-11.422,0.0485,66.0,3.0,66.0,3,1,2,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
7,(Con La Participación De Eros Ramazzotti),0.282,0.722,287600.0,-5.712999999999999,0.125,-5.712999999999999,0.0522,43.0,0.0,43.0,0,1,2,['others']
8,(Con La Participación de Marc Anthony),0.5379999999999999,0.731,361440.0,-4.1819999999999995,0.0736,-4.1819999999999995,0.0408,44.0,5.0,44.0,5,1,2,['others']
9,(G)I-DLE,0.029966667000000002,0.718,194278.0,-3.797333333,0.163333333,-3.797333333,0.0552,74.66666667,4.0,74.66666667,4,0,3,"['k-pop', 'k-pop girl group']"
10,*NSYNC,0.156757538,0.6420512820000001,237077.5128,-6.030692308,0.217423077,-6.030692308,0.067155128,45.79487179,0.0,45.79487179,0,1,78,"['boy band', 'dance pop', 'europop', 'pop']"
11,44,0.01281645,0.4515,205250.0,-4.26175,0.1507,-4.26175,0.079075,43.75,2.0,43.75,2,1,8,['others']
12,...And You Will Know Us by the Trail of Dead,0.008409999999999999,0.255,273624.0,-5.085,0.513,-5.085,0.0694,35.0,7.0,35.0,7,1,2,"['alternative rock', 'dance-punk', 'indie rock', 'lo-fi', 'modern rock', 'post-hardcore']"
13,...Bender,0.000155,0.542,226000.0,-5.025,0.11599999999999999,-5.025,0.0537,42.0,1.0,42.0,1,1,2,['others']
14,03 Greedo,0.06932,0.7246,220595.2,-5.021,0.16505999999999998,-5.021,0.05074,59.2,1.0,59.2,1,0,5,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']"
15,070 Shake,0.37513333299999996,0.68,303688.6667,-9.293666667,0.124266667,-9.293666667,0.1089,63.0,4.0,63.0,4,0,3,"['alternative r&b', 'indie r&b', 'new jersey rap']"
16,10 Ft. Ganja Plant,0.10835,0.7875,256780.0,-4.744,0.07735,-4.744,0.07285,48.5,2.0,48.5,2,0,4,"['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae']"
17,10 Years,0.097123238,0.39925,208469.875,-5.071875,0.1507375,-5.071875,0.0486125,47.75,6.0,47.75,6,1,16,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
18,"10,000 Maniacs",0.192295,0.581454545,240081.7273,-12.97718182,0.253490909,-12.97718182,0.041177273,36.77272727,9.0,36.77272727,9,1,44,"['dance rock', 'folk', 'lilith', 'new wave pop', 'pop rock']"
19,100 gecs,0.2515,0.6695,120538.0,-7.246,0.377,-7.246,0.138,63.5,6.0,63.5,6,1,2,"['art pop', 'escape room', 'hyperpop']"
20,101 Strings Orchestra,0.608833333,0.254866667,178029.8333,-13.42783333,0.172666667,-13.42783333,0.039833333,26.16666667,9.0,26.16666667,9,1,12,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
21,10cc,0.262604762,0.550952381,293338.5238,-10.77980952,0.14787619,-10.77980952,0.061561905,41.19047619,9.0,41.19047619,9,1,42,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']"
22,112,0.15839381800000002,0.666072727,274580.8545,-8.024036364,0.14321272699999998,-8.024036364,0.097623636,48.32727273,0.0,48.32727273,0,1,55,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
23,11:11,0.174,0.478,252540.0,-7.6,0.10300000000000001,-7.6,0.111,57.0,5.0,57.0,5,0,2,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
24,12 Pianists,0.991,0.414,137733.0,-39.385,0.0513,-39.385,0.0557,52.0,7.0,52.0,7,1,2,['others']
25,12 Stones,0.08026649999999999,0.38583333299999995,204280.1667,-3.887,0.249233333,-3.887,0.0693,50.33333333,5.0,50.33333333,5,1,12,"['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
26,1776 Orchestra,0.08,0.7390000000000001,113493.0,-15.620999999999999,0.0917,-15.620999999999999,0.0979,19.0,11.0,19.0,11,1,1,['others']
27,1788-L,0.0739,0.522,172344.0,-5.7410000000000005,0.0664,-5.7410000000000005,0.0418,46.0,1.0,46.0,1,0,1,"['brostep', 'edm', 'electro house', 'zapstep']"
28,18 Carat Affair,0.0318,0.599,98038.0,-7.575,0.11900000000000001,-7.575,0.0629,48.0,7.0,48.0,7,1,2,"['chillwave', 'future funk', 'hardvapour', 'vaporwave']"
